,B,G,W
0,3408,3172,-583
1,3124,2735,-423
2,3901,2920,-407
3,2268,789,-903
4,1746,685,-745
5,2786,872,-1074
6,4101,3532,-460
7,2816,2528,-437
8,2877,2430,-417
9,2451,2103,-399
10,2638,1743,-363
11,2532,719,-1328
12,2665,1608,-757
13,3512,3115,-494
14,3349,3085,-470
15,3646,3305,-448
16,3222,2945,-447
17,2710,2499,-395
18,2589,1447,-420
19,2253,764,-776
20,1883,702,-944
21,2414,793,-1156
22,3186,2857,-448
23,3373,2785,-400
24,3032,2734,-495
25,1739,742,-637
26,2901,2516,-528
27,2759,2449,-533
28,2411,2057,-465
29,1575,411,-491
30,3389,3028,-407
31,3308,2995,-500
32,2538,2262,-415
33,2456,1929,-429
34,2573,712,-1372
35,3296,2805,-534
36,3212,2972,-506
37,2445,1169,-674
38,1835,786,-775
39,2609,720,-1410
40,3326,2677,-516
41,3220,2633,-471
42,2874,2051,-499
43,2473,1921,-431
44,2452,1325,-541
45,1834,643,-875
46,2701,668,-406
47,2466,678,-1182
48,4285,2843,-541
49,3648,2937,-520
50,2958,2665,-399
51,2918,2561,-427
52,2295,1059,-707
53,1975,778,-783
54,2011,664,-898
55,2334,677,-1246
56,2461,715,-1164
57,4371,912,-1716
58,3160,2581,-516
59,3316,2894,-560
60,3685,3071,-575
61,3718,2848,-420
62,2841,2550,-442
63,2649,2346,-458
64,2369,717,-1292
65,3377,2961,-476
66,3501,2707,-601
67,2875,2538,-501
68,3412,2491,-659
69,2648,2305,-470
70,1784,677,-669
71,3118,1434,-805
72,3596,2817,-530
73,3291,2959,-486
74,3268,2906,-568
75,4233,3113,-701
76,2736,2360,-509
77,2714,2234,-543
78,2469,1925,-424
79,2426,738,-1359
80,4159,2023,-730
81,3324,2859,-565
82,1724,1228,25
83,2668,2140,-540
84,2706,1637,-776
85,3189,2834,-515
86,2802,2239,-495
87,2768,797,-1247
88,2690,849,-1345
89,2726,1535,-840
90,3014,2645,-497
91,2565,2032,-490
92,561,227,-170
93,2029,960,-770
94,3818,1332,-1290
95,3034,2281,-551
96,3388,2941,-428
97,1818,1369,27
98,814,615,39
99,2534,1566,-537
100,3203,2753,-531
101,3198,2798,-407
102,3049,2634,-462
103,2416,1990,-339
104,3592,2840,-460
